packetNo,delay,isWrong,repeats
1,70,0,0
2,44,0,0
3,42,0,0
4,43,0,0
5,43,0,0
6,41,0,0
7,42,0,0
8,43,0,0
9,43,0,0
10,42,0,0
11,42,0,0
12,42,0,0
13,42,0,0
14,42,0,0
15,41,0,0
16,42,0,0
17,43,0,0
18,42,0,0
19,42,0,0
20,42,0,0
21,42,0,0
22,41,0,0
23,42,0,0
24,43,0,0
25,42,0,0
26,43,0,0
27,43,0,0
28,43,0,0
29,44,0,0
30,42,0,0
31,41,0,0
32,42,0,0
33,42,0,0
34,42,0,0
35,41,0,0
36,43,0,0
37,42,0,0
38,43,0,0
39,40,0,0
40,43,0,0
41,42,0,0
42,41,0,0
43,44,0,0
44,42,0,0
45,42,0,0
46,42,0,0
47,42,0,0
48,42,0,0
49,43,0,0
50,41,0,0
51,42,0,0
52,42,0,0
53,42,0,0
54,43,0,0
55,41,0,0
56,44,0,0
57,43,0,0
58,40,0,0
59,42,0,0
60,43,0,0
61,40,0,0
62,43,0,0
63,44,0,0
64,42,0,0
65,43,0,0
66,42,0,0
67,42,0,0
68,42,0,0
69,42,0,0
70,41,0,0
71,43,0,0
72,44,0,0
73,41,0,0
74,43,0,0
75,43,0,0
76,41,0,0
77,41,0,0
78,41,0,0
79,42,0,0
80,41,0,0
81,41,0,0
82,41,0,0
83,43,0,0
84,43,0,0
85,42,0,0
86,41,0,0
87,43,0,0
88,41,0,0
89,41,0,0
90,43,0,0
91,41,0,0
92,43,0,0
93,42,0,0
94,42,0,0
95,42,0,0
96,43,0,0
97,44,0,0
98,42,0,0
99,41,0,0
100,42,0,0
101,43,0,0
102,45,0,0
103,42,0,0
104,42,0,0
105,42,0,0
106,41,0,0
107,43,0,0
108,41,0,0
109,42,0,0
110,42,0,0
111,41,0,0
112,43,0,0
113,43,0,0
114,43,0,0
115,41,0,0
116,42,0,0
117,42,0,0
118,45,0,0
119,50,0,0
120,49,0,0
121,48,0,0
122,50,0,0
123,50,0,0
124,49,0,0
125,48,0,0
126,52,0,0
127,49,0,0
128,51,0,0
129,49,0,0
130,47,0,0
131,49,0,0
132,50,0,0
133,49,0,0
134,51,0,0
135,49,0,0
