packetNo,delay,isWrong,repeats
1,212,0,0
2,114,0,0
3,103,0,0
4,114,0,0
5,102,0,0
6,100,0,0
7,108,0,0
8,107,0,0
9,106,0,0
10,101,0,0
11,100,0,0
12,109,0,0
13,100,0,0
14,110,0,0
15,104,0,0
16,219,1,1
17,221,1,1
18,105,0,0
19,216,1,1
20,99,0,0
21,219,1,1
22,101,0,0
23,106,0,0
24,102,0,0
25,103,0,0
26,89,0,0
27,186,1,1
28,90,0,0
29,99,0,0
30,90,0,0
31,93,0,0
32,97,0,0
33,97,0,0
34,100,0,0
35,90,0,0
36,89,0,0
37,95,0,0
38,90,0,0
39,98,0,0
40,92,0,0
41,89,0,0
42,95,0,0
43,93,0,0
44,98,0,0
45,96,0,0
46,91,0,0
47,96,0,0
48,90,0,0
49,115,0,0
50,277,1,2
51,89,0,0
52,95,0,0
53,110,0,0
54,94,0,0
55,94,0,0
56,88,0,0
57,99,0,0
58,91,0,0
59,87,0,0
60,98,0,0
61,189,1,1
62,92,0,0
63,95,0,0
64,97,0,0
65,88,0,0
66,284,1,2
67,102,0,0
68,89,0,0
69,96,0,0
70,92,0,0
71,92,0,0
72,100,0,0
73,88,0,0
74,97,0,0
75,92,0,0
76,192,1,1
77,96,0,0
78,97,0,0
79,94,0,0
80,88,0,0
81,98,0,0
82,87,0,0
83,95,0,0
84,94,0,0
85,89,0,0
86,96,0,0
87,90,0,0
88,182,1,1
89,91,0,0
90,100,0,0
91,89,0,0
92,280,1,2
93,368,1,3
94,87,0,0
95,97,0,0
96,95,0,0
97,97,0,0
98,91,0,0
99,88,0,0
100,97,0,0
101,89,0,0
102,97,0,0
103,93,0,0
104,280,1,2
105,180,1,1
106,98,0,0
107,108,0,0
108,183,1,1
109,89,0,0
110,89,0,0
111,99,0,0
112,88,0,0
113,97,0,0
114,89,0,0
115,79,0,0
116,83,0,0
117,84,0,0
118,89,0,0
119,78,0,0
120,77,0,0
121,88,0,0
122,80,0,0
123,87,0,0
124,75,0,0
125,83,0,0
126,245,1,2
127,77,0,0
128,80,0,0
129,83,0,0
130,78,0,0
131,84,0,0
132,78,0,0
133,78,0,0
134,86,0,0
135,79,0,0
136,82,0,0
137,80,0,0
138,79,0,0
139,163,1,1
140,82,0,0
141,82,0,0
142,79,0,0
143,82,0,0
144,85,0,0
145,91,0,0
146,81,0,0
147,80,0,0
148,83,0,0
149,77,0,0
150,85,0,0
151,86,0,0
152,79,0,0
153,164,1,1
154,83,0,0
155,80,0,0
156,170,1,1
157,80,0,0
158,87,0,0
159,81,0,0
160,79,0,0
161,84,0,0
162,77,0,0
163,82,0,0
164,82,0,0
165,84,0,0
166,93,0,0
167,85,0,0
168,91,0,0
169,78,0,0
170,77,0,0
171,84,0,0
